label,M_nonanchor_chunks,samples_s,fabricated_b,coverage,q_escape_prob,theory_mean_trials,measured_mean_trials,max_trials,reps,per_trial_ms,beacons_tested,beacon_escape_frac
gpt2-q8_0,25,1,2,0.0800,0.9200,1.09,1.11,3,200,12.511,2000,0.9120
gpt2-q8_0,25,3,2,0.2300,0.7700,1.30,1.35,5,200,12.603,2000,0.7545
gpt2-q8_0,25,5,2,0.3667,0.6333,1.58,1.64,6,200,12.508,2000,0.6165
gpt2-q8_0,25,10,2,0.6500,0.3500,2.86,3.00,16,200,12.536,2000,0.3385
synthetic-L26,24,1,2,0.0833,0.9167,1.09,1.11,4,200,0.217,2000,0.9160
synthetic-L26,24,3,2,0.2391,0.7609,1.31,1.34,4,200,0.199,2000,0.7450
synthetic-L26,24,5,2,0.3804,0.6196,1.61,1.60,5,200,0.197,2000,0.6015
synthetic-L26,24,10,2,0.6703,0.3297,3.03,3.00,13,200,0.198,2000,0.3275
